source	translation	match_status	inheritance_status	category	occurrences	patchable_occurrences	variant_count	notes
Pure Air Resistance	순수한 공기 저항	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pure Body Resistance	순수한 육체 저항	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pure Earth Resistance	순수한 대지 저항	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pure Endurance	순수한 체력	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pure Fire Resistance	순수한 화염 저항	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pure Intellect	순수한 지력	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pure Luck	순수한 행운	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pure Might	순수한 힘	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pure Mind Resistance	순수한 정신 저항	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pure Personality	순수한 인격	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pure Speed	순수한 속도	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pure Water Resistance	순수한 물 저항	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Purple Potion	보라색 물약	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Purple Topaz	보라색 황옥	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Puzzle Box	퍼즐 상자	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Quality Steel Chain Mail	고급 강철 사슬 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Raise Dead	소생	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ranger	레인저	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ranger Boots	레인저 장화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ranger Lord	레인저 군주	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ranger's Cloak	레인저의 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Reanimate	시체 소생	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Recharge Item	아이템 충전	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Red Apple	빨간 사과	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Red Potion	붉은색 물약	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Regal Crown	왕의 왕관	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Regeneration	재생	exact	no_patchable_occurrence	table	8	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Regnan Boots	레그나 장화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Regnan Leather	레그나 가죽 갑옷	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Rejuvenation	회춘	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Remains of Korbu	코르부의 유해	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Remove Curse	저주 해제	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Remove Fear	공포 해제	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Resplendent Chain Mail	찬란한 사슬 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Resurrection	부활	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ring of Keys	열쇠고리	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Rock Blast	바위 폭발	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Royal Chain Mail	왕실 사슬 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Royal Leather	왕실 가죽 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Royal Wasp Jelly	왕실 말벌 젤리	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Rusty Breastplate	녹슨 흉갑	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Rusty Mail Vest	녹슨 사슬 조끼	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Sapphire	사파이어	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Sarcophagus of Korbu	코르부의 석관	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Scarf	스카프	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Scholar's Cap	학자의 모자	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Scroll	두루마리	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Seashell	조개껍데기	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Serendine's Preservation	세렌딘의 보존	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Seven League Boots	칠 리그 장화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Shadow's Mask	그림자의 가면	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Shared Life	생명 공유	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Shield	방패	exact	no_patchable_occurrence	table	7	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Shrapmetal	금속 파편	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Shrinking Ray	축소 광선	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Siertal Chainmail	시에르탈 사슬 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Siertal-laced ore	시에르탈 함유 광석	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Signet Ring	인장 반지	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Silver Belt	은 허리띠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Silver Dust of the Sea	바다의 은가루	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Skull	두개골	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Small Shield	소형 방패	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Sniper	저격수	exact	no_patchable_occurrence	table	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Sorcerer	소서러	exact	no_patchable_occurrence	table	7	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Souldrinker	영혼 흡수	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Sovereign Belt	군주의 허리띠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Sparks	전기 불꽃	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Spear	창	exact	no_patchable_occurrence	table	8	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Spirit Lash	영혼 채찍	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Splendid Plate Armor	화려한 판금 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Stalt-laced ore	스탈트 함유 광석	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Starburst	별 폭발	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Statuette	조각상	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Steel Belt	강철 허리띠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Steel Boots	강철 장화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Steel Chainmail	강철 사슬 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Steel Helm	강철 투구	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Steel Plated Boots	강철판 장화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Sterling Boots	순은 장화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Stone Skin	돌가죽	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Stone to Flesh	석화 해제	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Strong Belt	튼튼한 허리띠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Studded Leather	징 박힌 가죽 갑옷	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Sturdy Belt	튼튼한 허리띠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Sulfur	황	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Summon Wisp	위스프 소환	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Sun Cloak	태양의 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Sunray	태양 광선	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Sunstone	태양석	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Supreme Plate	최상급 판금 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Sword	검	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Taledon's Helm	탈레돈의 투구	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Tapestry	태피스트리	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Telekinesis	염동력	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Telepathy	텔레파시	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
The Third Eye	제3의 눈	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Thief	도둑	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Thigh Bone	대퇴골	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Thornbark	가시나무 껍질	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Titan's Belt	타이탄의 허리띠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Tobersk Brandy	토베르스크 브랜디	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Tobersk Fruit	토베르스크 과일	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Tobersk Pulp	토베르스크 펄프	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Topaz	황옥	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Torch Light	횃불	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Toxic Cloud	독구름	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Traveler's Cloak	여행자의 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Travelers' Boon	여행자의 축복	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Traveller's Hat	여행자의 모자	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Trident	삼지창	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Troll	트롤	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Turn Undead	언데드 퇴치	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Twilight	황혼	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ultimate Boots	궁극의 장화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Unicorn Horn	유니콘 뿔	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Unused!!!	사용되지 않음!!!	exact	no_patchable_occurrence	table	21	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Urn of Ashes	유골 항아리	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Vampire	뱀파이어	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Vampire Cloak	뱀파이어 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Vampire's Cape	뱀파이어의 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Vampiric Weapon	흡혈 무기	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Vanguard Belt	선봉대의 허리띠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Vial of Devil Ichor	악마의 피 약병	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Vial of Grave Earth	무덤 흙 약병	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Villain	악당	exact	no_patchable_occurrence	table	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Walking Boots	여행 장화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Warlord Belt	군벌의 허리띠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Warrior Mage	전투 마법사	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Wasp Stingers	말벌 침	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Wasp Wing	말벌 날개	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Water Breathing	수중 호흡	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Water Walk	수면 보행	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Wealthy Hat	부자의 모자	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Wetsuit	잠수복	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
White Potion	흰색 물약	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Widowsweep Berries	위도우스위프 열매	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Will O' Wisp Heart	윌 오 위스프의 심장	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Wing Buffet	날개 치기	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Winged Sandals	날개 달린 샌들	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Wizard	마법사	exact	no_patchable_occurrence	table	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Wizard Cap	마법사의 모자	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Wizard Eye	마법사의 눈	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Wolf's Eye	늑대의 눈	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Wooden Helm	나무 투구	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Wreath Crown	화환 왕관	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Wyvern Horn	와이번 뿔	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Wyvern Leather Belt	와이번 가죽 허리띠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Yellow Potion	노란색 물약	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Yoruba	요루바	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Zircon	지르콘	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
